"FIPS","state","county","votes_dem_12","votes_gop_12","votes_total_12","votes_dem_16","votes_gop_16","votes_total_16","pct_for_born15","pct_bach_deg15","pct_non_white15","pct_unemp12","pct_unemp16"
1001,"AL","Autauga",6354,17366,23909,5908,18110,24661,1.56,23.23,22.6,6.6,5.4
1003,"AL","Baldwin",18329,65772,84988,18409,72780,94090,3.53,28.99,13.57,7.2,5.5
1005,"AL","Barbour",5873,5539,11459,4848,5431,10390,2.74,12.52,52.64,11.2,8.6
1007,"AL","Bibb",2200,6131,8391,1874,6733,8748,1.11,10.65,23.35,8.2,6.7
1009,"AL","Blount",2961,20741,23980,2150,22808,25384,4.15,12.89,4.9,6.6,5.5
1011,"AL","Bullock",4058,1250,5318,3530,1139,4701,5.37,13.86,73.36,10.7,7.8
1013,"AL","Butler",4367,5081,9483,3716,4891,8685,0.71,14.52,45.84,10.6,6.9
1015,"AL","Calhoun",15500,30272,46240,13197,32803,47376,2.56,17.56,24.89,8.4,6.6
1017,"AL","Chambers",6853,7596,14562,5763,7803,13778,1.06,11.59,42.33,8.7,5.5
1019,"AL","Cherokee",2126,7494,9761,1524,8809,10503,1,13.76,7.08,7.5,5.3
1021,"AL","Chilton",3391,13910,17434,2909,15068,18255,5.32,14.08,15.95,6.7,5.6
1023,"AL","Choctaw",3785,4150,7965,3109,4102,7268,0.16,11.81,44.11,9.3,8.9
1025,"AL","Clarke",6317,7463,13827,5712,7109,12936,0.5,12.94,46.44,13.7,10.8
1027,"AL","Clay",1770,4802,6640,1234,5230,6572,2.14,9.59,18.26,8.6,6
1029,"AL","Cleburne",971,5269,6302,684,5738,6532,1.54,12.06,6.03,7.7,6.3
1031,"AL","Coffee",4899,14638,19715,4194,15825,20513,4.24,23.86,23.22,6.7,6
1033,"AL","Colbert",9160,13931,23374,7296,16718,24626,1.86,18.58,20.45,8.1,6.7
1035,"AL","Conecuh",3551,3434,7013,3069,3413,6543,1.02,8.22,47.84,11.3,8.6
1037,"AL","Coosa",2188,3028,5243,1780,3376,5223,1.79,8.46,32.65,8.4,6.4
1039,"AL","Covington",3155,12148,15415,2379,13222,15818,1.07,14.33,15.66,7.9,6.8
1041,"AL","Crenshaw",2048,4326,6411,1663,4511,6252,2.35,14.29,28.5,7.9,5.8
1043,"AL","Cullman",4855,27930,33178,3730,32734,37278,2.47,14.56,4.31,7.3,5.2
1045,"AL","Dale",5283,13105,18551,4408,13798,18617,3.24,16.35,25.34,7.1,6
1047,"AL","Dallas",14599,6284,20936,12826,5784,18730,0.79,14.02,71.33,12.1,9.2
1049,"AL","DeKalb",5235,18316,23842,3682,21779,26086,7.6,11.18,13.58,8.3,6.1
1051,"AL","Elmore",8940,26223,35440,8436,27619,36905,2.1,21.42,24.48,6.6,5.1
1053,"AL","Escambia",5476,9263,14832,4698,10282,15213,0.57,12.54,38.57,8.8,6.6
1055,"AL","Etowah",12792,29102,42490,10350,32132,43474,2.69,16.04,18.75,8.4,6.1
1057,"AL","Fayette",1803,6034,7912,1358,6705,8196,0.45,14.12,14.45,8.1,6.9
1059,"AL","Franklin",3171,7567,10859,2197,9466,11955,8.82,11.41,11.73,8,6.1
1061,"AL","Geneva",2039,9173,11318,1522,9967,11659,2.72,12.35,13.5,7.2,5.9
1063,"AL","Greene",4514,799,5328,4006,838,4862,0.22,10.94,82.21,12.5,10.1
1065,"AL","Hale",5401,3205,8628,4772,3172,8010,0.96,13.87,60.04,10.6,7.6
1067,"AL","Henry",3046,5605,8700,2286,5623,8017,1.45,16.52,29.63,7.9,6.6
1069,"AL","Houston",12348,29214,41843,10547,30567,42030,2.39,20.59,30.29,7.3,5.8
1071,"AL","Jackson",5817,14422,20555,3663,16643,20785,2.27,12.44,9.03,7.9,6.3
