year,AFG,ALB,ALG,ANG,ARG,ARM,AUL,AUS,AZE,BAD,BAH,BAV,BEL,BEN,BFO,BHU,BLR,BNG,BOL,BOS,BOT,BRA,BUI,BUL,CAM,CAN,CAO,CAP,CEN,CHA,CHL,CHN,COL,COM,CON,COS,CRO,CUB,CYP,CZE,CZR,DEN,DJI,DOM,DRV,ECU,EGY,EQG,ERI,EST,ETH,ETI,ETM,FIN,FJI,FRN,GAB,GAM,GCL,GDR,GFR,GHA,GMY,GNB,GRC,GRG,GUA,GUI,GUY,HAI,HON,HUN,IND,INS,IRE,IRN,IRQ,ISR,ITA,IVO,JAM,JOR,JPN,KEN,KOR,KOS,KUW,KYR,KZK,LAO,LAT,LBR,LEB,LES,LIB,LIT,LUX,MAA,MAC,MAG,MAL,MAS,MAW,MEX,MLD,MLI,MNT,MOD,MON,MOR,MYA,MZM,NAM,NEP,NEW,NIC,NIG,NIR,NOR,NTH,OFS,OMA,PAK,PAN,PAP,PAR,PER,PHI,PKS,PMA,PNG,POL,POR,PRK,QAT,ROK,RUM,RUS,RVN,RWA,SAF,SAL,SAR,SAU,SAX,SDN,SEN,SER,SIC,SIE,SIN,SLO,SLV,SOL,SOM,SPN,SRI,SSU,SUD,SUR,SWA,SWD,SWZ,SYR,TAJ,TAW,TAZ,THI,TKM,TOG,TRI,TUN,TUR,TUS,UAE,UGA,UKG,UKR,UPC,URU,USA,USR,UZB,VEN,VIE,WRT,YAR,YEM,YGS,YPR,YUG,ZAI,ZAM,ZIM
1800,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1801,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1802,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1803,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1804,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1805,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1806,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1807,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1808,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,4,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
1809,-6,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-10,NA,NA,NA,NA,-10,NA,NA,NA,-2,NA,NA,NA,9,NA,NA,NA,NA,-7,NA,NA,NA,NA,NA,NA,NA,NA
